Day,temp_max,temp_min,precipitacion,Pernoctacions_Habitatge_turístic,Pernoctacions_Hotel
01-01-2021,7.55,4.3,5.65,3500,8700.0
02-01-2021,8.55,1.55,0.0,6369,15828.0
03-01-2021,9.55,0.85,0.0,6904,17160.0
04-01-2021,10.1,0.65,0.0,5825,14478.0
05-01-2021,9.4,0.65,0.0,4669,11603.0
06-01-2021,9.7,0.25,0.5,4315,10725.0
07-01-2021,6.35,2.25,0.0,4412,10965.0
08-01-2021,6.1,0.5,5.1,5189,12898.0
09-01-2021,6.15,1.5,12.4,4066,10106.0
10-01-2021,6.65,3.6,6.0,4412,10965.0
11-01-2021,8.5,0.9,0.0,3028,7526.0
12-01-2021,7.3,0.8,0.0,2913,7239.0
13-01-2021,10.4,2.6,0.0,3203,7960.0
14-01-2021,9.55,3.6,0.0,3333,8284.0
15-01-2021,11.05,3.75,0.0,4271,10614.0
16-01-2021,12.75,3.5,0.0,3806,9459.0
17-01-2021,15.15,5.0,0.0,3965,9856.0
18-01-2021,11.85,6.8,0.2,3742,9301.0
19-01-2021,14.35,5.05,0.0,3244,8062.0
20-01-2021,12.15,7.85,0.0,3407,8469.0
21-01-2021,14.85,7.1,1.25,3460,8598.0
22-01-2021,14.7,7.45,4.65,4088,10161.0
23-01-2021,14.75,6.5,0.0,3404,8459.0
24-01-2021,16.0,8.65,0.0,3713,9227.0
25-01-2021,13.95,8.1,0.1,3527,8764.0
26-01-2021,13.2,6.75,0.0,3158,7849.0
27-01-2021,17.25,6.45,0.0,3467,8617.0
28-01-2021,18.7,9.6,0.0,3512,8728.0
29-01-2021,20.75,10.55,0.0,4371,10863.0
30-01-2021,18.7,8.5,0.05,3463,8608.0
31-01-2021,17.1,9.4,0.2,3668,9116.0
01-02-2021,19.55,11.65,0.0,4991,10418.0
02-02-2021,19.3,11.05,0.0,4273,8920.0
03-02-2021,19.2,10.45,0.0,4750,9915.0
04-02-2021,15.85,9.55,0.0,4771,9959.0
05-02-2021,14.95,9.8,0.0,5525,11533.0
06-02-2021,16.65,10.75,0.5,4818,10057.0
07-02-2021,12.75,7.0,1.0,4771,9959.0
08-02-2021,12.65,8.05,2.4,4572,9544.0
09-02-2021,13.75,7.35,1.05,3849,8035.0
10-02-2021,15.0,8.75,0.3,4766,9948.0
11-02-2021,16.35,6.85,0.0,4923,10276.0
