Tipologia d'allotjament,Data,Pernoctacions
Habitatges d'Ús Turístic,1/31/2020,"720,956"
Establiments Hotelers,1/31/2020,"1,418,513"
Habitatges d'Ús Turístic,2/29/2020,"731,537"
Establiments Hotelers,2/29/2020,"1,360,396"
Establiments Hotelers,3/31/2020,"558,061"
Habitatges d'Ús Turístic,3/31/2020,"331,689"
Establiments Hotelers,4/30/2020,
Habitatges d'Ús Turístic,4/30/2020,
Establiments Hotelers,5/31/2020,
Habitatges d'Ús Turístic,5/31/2020,"106,831"
Establiments Hotelers,6/30/2020,
Habitatges d'Ús Turístic,6/30/2020,"386,933"
Establiments Hotelers,7/31/2020,"235,284"
Habitatges d'Ús Turístic,7/31/2020,"483,877"
Establiments Hotelers,8/31/2020,"228,256"
Habitatges d'Ús Turístic,8/31/2020,"467,764"
Establiments Hotelers,9/30/2020,"174,635"
Habitatges d'Ús Turístic,9/30/2020,"166,885"
Establiments Hotelers,10/31/2020,"152,303"
Habitatges d'Ús Turístic,10/31/2020,"224,289"
Establiments Hotelers,11/30/2020,"92,528"
Habitatges d'Ús Turístic,11/30/2020,"249,866"
Establiments Hotelers,12/31/2020,"134,030"
Habitatges d'Ús Turístic,12/31/2020,"265,398"
Establiments Hotelers,1/31/2021,"124,403"
Albergs,1/31/2021,"11,197"
Habitatges d'Ús Turístic,1/31/2021,"297,996"
Establiments Hotelers,2/28/2021,"141,119"
Albergs,2/28/2021,"25,306"
Habitatges d'Ús Turístic,2/28/2021,"269,275"
Establiments Hotelers,3/31/2021,"181,077"
Albergs,3/31/2021,"30,028"
Habitatges d'Ús Turístic,3/31/2021,311500
Establiments Hotelers,4/30/2021,"210,963"
Albergs,4/30/2021,"35,873"
Habitatges d'Ús Turístic,4/30/2021,354987
Establiments Hotelers,5/31/2021,"360,912"
Albergs,5/31/2021,"40,901"
Habitatges d'Ús Turístic,5/31/2021,452347
Establiments Hotelers,6/30/2021,"552,505"
Albergs,6/30/2021,"45,451"
Habitatges d'Ús Turístic,6/30/2021,512599
