Entity,Week,Day,Flights,Flights (7-day moving average)
Spain,52,1/1/2023,3430,"3659,7"
Spain,1,1/2/2023,3837,"3674,4"
Spain,1,1/3/2023,3599,"3668,7"
Spain,1,1/4/2023,3572,"3652,1"
Spain,1,1/5/2023,3589,"3622,4"
Spain,1,1/6/2023,3670,"3591,3"
Spain,1,1/7/2023,3884,"3654,4"
Spain,1,1/8/2023,3972,"3731,9"
Spain,2,1/9/2023,3583,"3695,6"
Spain,2,1/10/2023,3117,"3626,7"
Spain,2,1/11/2023,3036,"3550,1"
Spain,2,1/12/2023,3309,"3510,1"
Spain,2,1/13/2023,3584,"3497,9"
Spain,2,1/14/2023,3533,"3447,7"
Spain,2,1/15/2023,3607,"3395,6"
Spain,3,1/16/2023,3335,"3360,1"
Spain,3,1/17/2023,2873,"3325,3"
Spain,3,1/18/2023,2931,"3310,3"
Spain,3,1/19/2023,3174,"3291,0"
Spain,3,1/20/2023,3585,"3291,1"
Spain,3,1/21/2023,3474,"3282,7"
Spain,3,1/22/2023,3583,"3279,3"
Spain,4,1/23/2023,3346,"3280,9"
Spain,4,1/24/2023,2926,"3288,4"
Spain,4,1/25/2023,3000,"3298,3"
Spain,4,1/26/2023,3249,"3309,0"
Spain,4,1/27/2023,3629,"3315,3"
Spain,4,1/28/2023,3445,"3311,1"
Spain,4,1/29/2023,3590,"3312,1"
Spain,5,1/30/2023,3388,"3318,1"
Spain,5,1/31/2023,2951,"3321,7"
Spain,5,2/1/2023,3091,"3334,7"
Spain,5,2/2/2023,3283,"3339,6"
Spain,5,2/3/2023,3731,"3354,1"
Spain,5,2/4/2023,3608,"3377,4"
Spain,5,2/5/2023,3724,"3396,6"
Spain,6,2/6/2023,3488,"3410,9"
Spain,6,2/7/2023,2975,"3414,3"
Spain,6,2/8/2023,3089,"3414,0"
Spain,6,2/9/2023,3352,"3423,9"
Spain,6,2/10/2023,3859,"3442,1"
Spain,6,2/11/2023,3726,"3459,0"
Spain,6,2/12/2023,3842,"3475,9"
Spain,7,2/13/2023,3647,"3498,6"
Spain,7,2/14/2023,3265,"3540,0"
Spain,7,2/15/2023,3307,"3571,1"
Spain,7,2/16/2023,3635,"3611,6"
Spain,7,2/17/2023,3969,"3627,3"
Spain,7,2/18/2023,4016,"3668,7"
Spain,7,2/19/2023,4041,"3697,1"
Spain,8,2/20/2023,3818,"3721,6"
Spain,8,2/21/2023,3402,"3741,1"
Spain,8,2/22/2023,3421,"3757,4"
Spain,8,2/23/2023,3645,"3758,9"
Spain,8,2/24/2023,4053,"3770,9"
Spain,8,2/25/2023,3899,"3754,1"
Spain,8,2/26/2023,4061,"3757,0"
Spain,9,2/27/2023,3747,"3746,9"
Spain,9,2/28/2023,3397,"3746,1"
Spain,9,3/1/2023,3481,"3754,7"
Spain,9,3/2/2023,3716,"3764,9"
Spain,9,3/3/2023,4174,"3782,1"
Spain,9,3/4/2023,3938,"3787,7"
Spain,9,3/5/2023,4023,"3782,3"
Spain,10,3/6/2023,3782,"3787,3"
Spain,10,3/7/2023,3330,"3777,7"
Spain,10,3/8/2023,3347,"3758,6"
Spain,10,3/9/2023,3582,"3739,4"
Spain,10,3/10/2023,3893,"3699,3"
Spain,10,3/11/2023,3866,"3689,0"
Spain,10,3/12/2023,4000,"3685,7"
