Secció censal/Sección censal/Census section,Districte/Distrito/District,Municipi/Municipio/Municipality,Data/Fecha/Date,Ús/Uso/Use,Nombre de comptadors/Número de contadores/Number of meters,Consum acumulat (L/dia)/Consumo acumulado (L/día)/Accumulated consumption (L/day)
          ,  ,L'HOSPITALET LLOBR.,2023-01-01,Comercial/Comercial/Commercial,8,544
          ,  ,L'HOSPITALET LLOBR.,2023-01-01,Domèstic/Doméstico/Domestic,214,5255
          ,  ,L'HOSPITALET LLOBR.,2023-01-01,Industrial/Industrial/Industrial,13,1277
          ,  ,L'HOSPITALET LLOBR.,2023-01-02,Comercial/Comercial/Commercial,8,487
          ,  ,L'HOSPITALET LLOBR.,2023-01-02,Domèstic/Doméstico/Domestic,214,4450
          ,  ,L'HOSPITALET LLOBR.,2023-01-02,Industrial/Industrial/Industrial,13,33175
          ,  ,L'HOSPITALET LLOBR.,2023-01-03,Comercial/Comercial/Commercial,8,629
          ,  ,L'HOSPITALET LLOBR.,2023-01-03,Domèstic/Doméstico/Domestic,214,4472
          ,  ,L'HOSPITALET LLOBR.,2023-01-03,Industrial/Industrial/Industrial,13,45412
          ,  ,L'HOSPITALET LLOBR.,2023-01-04,Comercial/Comercial/Commercial,8,494
          ,  ,L'HOSPITALET LLOBR.,2023-01-04,Domèstic/Doméstico/Domestic,214,4339
          ,  ,L'HOSPITALET LLOBR.,2023-01-04,Industrial/Industrial/Industrial,13,41824
          ,  ,L'HOSPITALET LLOBR.,2023-01-05,Comercial/Comercial/Commercial,8,434
          ,  ,L'HOSPITALET LLOBR.,2023-01-05,Domèstic/Doméstico/Domestic,214,4478
          ,  ,L'HOSPITALET LLOBR.,2023-01-05,Industrial/Industrial/Industrial,13,35153
          ,  ,L'HOSPITALET LLOBR.,2023-01-06,Comercial/Comercial/Commercial,8,700
          ,  ,L'HOSPITALET LLOBR.,2023-01-06,Domèstic/Doméstico/Domestic,214,5006
          ,  ,L'HOSPITALET LLOBR.,2023-01-06,Industrial/Industrial/Industrial,13,31552
          ,  ,L'HOSPITALET LLOBR.,2023-01-07,Comercial/Comercial/Commercial,8,751
          ,  ,L'HOSPITALET LLOBR.,2023-01-07,Domèstic/Doméstico/Domestic,214,4620
          ,  ,L'HOSPITALET LLOBR.,2023-01-07,Industrial/Industrial/Industrial,13,29848
          ,  ,L'HOSPITALET LLOBR.,2023-01-08,Comercial/Comercial/Commercial,8,640
          ,  ,L'HOSPITALET LLOBR.,2023-01-08,Domèstic/Doméstico/Domestic,214,4760
          ,  ,L'HOSPITALET LLOBR.,2023-01-08,Industrial/Industrial/Industrial,13,4739
          ,  ,L'HOSPITALET LLOBR.,2023-01-09,Comercial/Comercial/Commercial,8,645
          ,  ,L'HOSPITALET LLOBR.,2023-01-09,Domèstic/Doméstico/Domestic,214,4416
          ,  ,L'HOSPITALET LLOBR.,2023-01-09,Industrial/Industrial/Industrial,13,29754
          ,  ,L'HOSPITALET LLOBR.,2023-01-10,Comercial/Comercial/Commercial,8,766
          ,  ,L'HOSPITALET LLOBR.,2023-01-10,Domèstic/Doméstico/Domestic,214,4590
          ,  ,L'HOSPITALET LLOBR.,2023-01-10,Industrial/Industrial/Industrial,13,45050
          ,  ,L'HOSPITALET LLOBR.,2023-01-11,Comercial/Comercial/Commercial,8,661
          ,  ,L'HOSPITALET LLOBR.,2023-01-11,Domèstic/Doméstico/Domestic,214,4925
          ,  ,L'HOSPITALET LLOBR.,2023-01-11,Industrial/Industrial/Industrial,13,41156
          ,  ,L'HOSPITALET LLOBR.,2023-01-12,Comercial/Comercial/Commercial,8,769
          ,  ,L'HOSPITALET LLOBR.,2023-01-12,Domèstic/Doméstico/Domestic,214,4563
          ,  ,L'HOSPITALET LLOBR.,2023-01-12,Industrial/Industrial/Industrial,13,22279
          ,  ,L'HOSPITALET LLOBR.,2023-01-13,Comercial/Comercial/Commercial,8,501
          ,  ,L'HOSPITALET LLOBR.,2023-01-13,Domèstic/Doméstico/Domestic,214,4267
          ,  ,L'HOSPITALET LLOBR.,2023-01-13,Industrial/Industrial/Industrial,13,44882
          ,  ,L'HOSPITALET LLOBR.,2023-01-14,Comercial/Comercial/Commercial,8,431
          ,  ,L'HOSPITALET LLOBR.,2023-01-14,Domèstic/Doméstico/Domestic,214,4852
          ,  ,L'HOSPITALET LLOBR.,2023-01-14,Industrial/Industrial/Industrial,13,31306
          ,  ,L'HOSPITALET LLOBR.,2023-01-15,Comercial/Comercial/Commercial,8,509
          ,  ,L'HOSPITALET LLOBR.,2023-01-15,Domèstic/Doméstico/Domestic,214,5201
          ,  ,L'HOSPITALET LLOBR.,2023-01-15,Industrial/Industrial/Industrial,13,2801
          ,  ,L'HOSPITALET LLOBR.,2023-01-16,Comercial/Comercial/Commercial,8,401
          ,  ,L'HOSPITALET LLOBR.,2023-01-16,Domèstic/Doméstico/Domestic,214,4901
          ,  ,L'HOSPITALET LLOBR.,2023-01-16,Industrial/Industrial/Industrial,13,33366
          ,  ,L'HOSPITALET LLOBR.,2023-01-17,Comercial/Comercial/Commercial,8,478
          ,  ,L'HOSPITALET LLOBR.,2023-01-17,Domèstic/Doméstico/Domestic,214,4296
          ,  ,L'HOSPITALET LLOBR.,2023-01-17,Industrial/Industrial/Industrial,13,39315
          ,  ,L'HOSPITALET LLOBR.,2023-01-18,Comercial/Comercial/Commercial,8,427
          ,  ,L'HOSPITALET LLOBR.,2023-01-18,Domèstic/Doméstico/Domestic,214,4572
          ,  ,L'HOSPITALET LLOBR.,2023-01-18,Industrial/Industrial/Industrial,13,33441
          ,  ,L'HOSPITALET LLOBR.,2023-01-19,Comercial/Comercial/Commercial,8,513
          ,  ,L'HOSPITALET LLOBR.,2023-01-19,Domèstic/Doméstico/Domestic,214,4448
          ,  ,L'HOSPITALET LLOBR.,2023-01-19,Industrial/Industrial/Industrial,13,33665
          ,  ,L'HOSPITALET LLOBR.,2023-01-20,Comercial/Comercial/Commercial,8,241
          ,  ,L'HOSPITALET LLOBR.,2023-01-20,Domèstic/Doméstico/Domestic,214,4405
          ,  ,L'HOSPITALET LLOBR.,2023-01-20,Industrial/Industrial/Industrial,13,36681
          ,  ,L'HOSPITALET LLOBR.,2023-01-21,Comercial/Comercial/Commercial,8,251
          ,  ,L'HOSPITALET LLOBR.,2023-01-21,Domèstic/Doméstico/Domestic,214,4992
          ,  ,L'HOSPITALET LLOBR.,2023-01-21,Industrial/Industrial/Industrial,13,26184
          ,  ,L'HOSPITALET LLOBR.,2023-01-22,Comercial/Comercial/Commercial,8,227
          ,  ,L'HOSPITALET LLOBR.,2023-01-22,Domèstic/Doméstico/Domestic,214,5306
          ,  ,L'HOSPITALET LLOBR.,2023-01-22,Industrial/Industrial/Industrial,13,8050
          ,  ,L'HOSPITALET LLOBR.,2023-01-23,Comercial/Comercial/Commercial,8,292
          ,  ,L'HOSPITALET LLOBR.,2023-01-23,Domèstic/Doméstico/Domestic,214,4684
          ,  ,L'HOSPITALET LLOBR.,2023-01-23,Industrial/Industrial/Industrial,13,29772
          ,  ,L'HOSPITALET LLOBR.,2023-01-24,Comercial/Comercial/Commercial,8,259
          ,  ,L'HOSPITALET LLOBR.,2023-01-24,Domèstic/Doméstico/Domestic,214,4377
          ,  ,L'HOSPITALET LLOBR.,2023-01-24,Industrial/Industrial/Industrial,13,36156
          ,  ,L'HOSPITALET LLOBR.,2023-01-25,Comercial/Comercial/Commercial,8,338
          ,  ,L'HOSPITALET LLOBR.,2023-01-25,Domèstic/Doméstico/Domestic,214,4552
          ,  ,L'HOSPITALET LLOBR.,2023-01-25,Industrial/Industrial/Industrial,13,34943
          ,  ,L'HOSPITALET LLOBR.,2023-01-26,Comercial/Comercial/Commercial,8,330
          ,  ,L'HOSPITALET LLOBR.,2023-01-26,Domèstic/Doméstico/Domestic,214,4691
          ,  ,L'HOSPITALET LLOBR.,2023-01-26,Industrial/Industrial/Industrial,13,33775
          ,  ,L'HOSPITALET LLOBR.,2023-01-27,Comercial/Comercial/Commercial,8,249
          ,  ,L'HOSPITALET LLOBR.,2023-01-27,Domèstic/Doméstico/Domestic,214,4617
          ,  ,L'HOSPITALET LLOBR.,2023-01-27,Industrial/Industrial/Industrial,13,33806
          ,  ,L'HOSPITALET LLOBR.,2023-01-28,Comercial/Comercial/Commercial,8,219
          ,  ,L'HOSPITALET LLOBR.,2023-01-28,Domèstic/Doméstico/Domestic,214,5288
          ,  ,L'HOSPITALET LLOBR.,2023-01-28,Industrial/Industrial/Industrial,13,32441
          ,  ,L'HOSPITALET LLOBR.,2023-01-29,Comercial/Comercial/Commercial,8,220
          ,  ,L'HOSPITALET LLOBR.,2023-01-29,Domèstic/Doméstico/Domestic,214,5446
          ,  ,L'HOSPITALET LLOBR.,2023-01-29,Industrial/Industrial/Industrial,13,4005
          ,  ,L'HOSPITALET LLOBR.,2023-01-30,Comercial/Comercial/Commercial,8,249
          ,  ,L'HOSPITALET LLOBR.,2023-01-30,Domèstic/Doméstico/Domestic,214,4723
          ,  ,L'HOSPITALET LLOBR.,2023-01-30,Industrial/Industrial/Industrial,13,33289
          ,  ,L'HOSPITALET LLOBR.,2023-01-31,Comercial/Comercial/Commercial,8,187
          ,  ,L'HOSPITALET LLOBR.,2023-01-31,Domèstic/Doméstico/Domestic,214,4383
          ,  ,L'HOSPITALET LLOBR.,2023-01-31,Industrial/Industrial/Industrial,13,41728
0801903025,03,L'HOSPITALET LLOBR.,2023-01-01,Comercial/Comercial/Commercial,5,14
0801903025,03,L'HOSPITALET LLOBR.,2023-01-01,Industrial/Industrial/Industrial,1,1493
0801903025,03,L'HOSPITALET LLOBR.,2023-01-02,Comercial/Comercial/Commercial,5,643
0801903025,03,L'HOSPITALET LLOBR.,2023-01-02,Industrial/Industrial/Industrial,1,1346
0801903025,03,L'HOSPITALET LLOBR.,2023-01-03,Comercial/Comercial/Commercial,5,541
0801903025,03,L'HOSPITALET LLOBR.,2023-01-03,Industrial/Industrial/Industrial,1,1599
0801903025,03,L'HOSPITALET LLOBR.,2023-01-04,Comercial/Comercial/Commercial,5,433
0801903025,03,L'HOSPITALET LLOBR.,2023-01-04,Industrial/Industrial/Industrial,1,10420
0801903025,03,L'HOSPITALET LLOBR.,2023-01-05,Comercial/Comercial/Commercial,5,859
0801903025,03,L'HOSPITALET LLOBR.,2023-01-05,Industrial/Industrial/Industrial,1,11160
0801903025,03,L'HOSPITALET LLOBR.,2023-01-06,Comercial/Comercial/Commercial,5,66
0801903025,03,L'HOSPITALET LLOBR.,2023-01-06,Industrial/Industrial/Industrial,1,1534
0801903025,03,L'HOSPITALET LLOBR.,2023-01-07,Comercial/Comercial/Commercial,5,69
0801903025,03,L'HOSPITALET LLOBR.,2023-01-07,Industrial/Industrial/Industrial,1,2418
0801903025,03,L'HOSPITALET LLOBR.,2023-01-08,Comercial/Comercial/Commercial,5,72
0801903025,03,L'HOSPITALET LLOBR.,2023-01-08,Industrial/Industrial/Industrial,1,1918
0801903025,03,L'HOSPITALET LLOBR.,2023-01-09,Comercial/Comercial/Commercial,5,677
0801903025,03,L'HOSPITALET LLOBR.,2023-01-09,Industrial/Industrial/Industrial,1,2430
0801903025,03,L'HOSPITALET LLOBR.,2023-01-10,Comercial/Comercial/Commercial,5,800
0801903025,03,L'HOSPITALET LLOBR.,2023-01-10,Industrial/Industrial/Industrial,1,2612
0801903025,03,L'HOSPITALET LLOBR.,2023-01-11,Comercial/Comercial/Commercial,5,541
0801903025,03,L'HOSPITALET LLOBR.,2023-01-11,Industrial/Industrial/Industrial,1,2275
0801903025,03,L'HOSPITALET LLOBR.,2023-01-12,Comercial/Comercial/Commercial,5,580
0801903025,03,L'HOSPITALET LLOBR.,2023-01-12,Industrial/Industrial/Industrial,1,1493
0801903025,03,L'HOSPITALET LLOBR.,2023-01-13,Comercial/Comercial/Commercial,5,2814
0801903025,03,L'HOSPITALET LLOBR.,2023-01-13,Industrial/Industrial/Industrial,1,1993
0801903025,03,L'HOSPITALET LLOBR.,2023-01-14,Comercial/Comercial/Commercial,5,128
0801903025,03,L'HOSPITALET LLOBR.,2023-01-14,Industrial/Industrial/Industrial,1,1584
0801903025,03,L'HOSPITALET LLOBR.,2023-01-15,Comercial/Comercial/Commercial,5,117
0801903025,03,L'HOSPITALET LLOBR.,2023-01-15,Industrial/Industrial/Industrial,1,1704
0801903025,03,L'HOSPITALET LLOBR.,2023-01-16,Comercial/Comercial/Commercial,5,1885
0801903025,03,L'HOSPITALET LLOBR.,2023-01-16,Industrial/Industrial/Industrial,1,2171
0801903025,03,L'HOSPITALET LLOBR.,2023-01-17,Comercial/Comercial/Commercial,5,2133
0801903025,03,L'HOSPITALET LLOBR.,2023-01-17,Industrial/Industrial/Industrial,1,1605
0801903025,03,L'HOSPITALET LLOBR.,2023-01-18,Comercial/Comercial/Commercial,5,685
0801903025,03,L'HOSPITALET LLOBR.,2023-01-18,Industrial/Industrial/Industrial,1,1815
0801903025,03,L'HOSPITALET LLOBR.,2023-01-19,Comercial/Comercial/Commercial,5,562
0801903025,03,L'HOSPITALET LLOBR.,2023-01-19,Industrial/Industrial/Industrial,1,3146
0801903025,03,L'HOSPITALET LLOBR.,2023-01-20,Comercial/Comercial/Commercial,5,701
0801903025,03,L'HOSPITALET LLOBR.,2023-01-20,Industrial/Industrial/Industrial,1,1935
0801903025,03,L'HOSPITALET LLOBR.,2023-01-21,Comercial/Comercial/Commercial,5,22
0801903025,03,L'HOSPITALET LLOBR.,2023-01-21,Industrial/Industrial/Industrial,1,1412
0801903025,03,L'HOSPITALET LLOBR.,2023-01-22,Comercial/Comercial/Commercial,5,21
0801903025,03,L'HOSPITALET LLOBR.,2023-01-22,Industrial/Industrial/Industrial,1,2091
0801903025,03,L'HOSPITALET LLOBR.,2023-01-23,Comercial/Comercial/Commercial,5,644
0801903025,03,L'HOSPITALET LLOBR.,2023-01-23,Industrial/Industrial/Industrial,1,2035
0801903025,03,L'HOSPITALET LLOBR.,2023-01-24,Comercial/Comercial/Commercial,5,1158
0801903025,03,L'HOSPITALET LLOBR.,2023-01-24,Industrial/Industrial/Industrial,1,2256
0801903025,03,L'HOSPITALET LLOBR.,2023-01-25,Comercial/Comercial/Commercial,5,1503
0801903025,03,L'HOSPITALET LLOBR.,2023-01-25,Industrial/Industrial/Industrial,1,2834
0801903025,03,L'HOSPITALET LLOBR.,2023-01-26,Comercial/Comercial/Commercial,5,1704
0801903025,03,L'HOSPITALET LLOBR.,2023-01-26,Industrial/Industrial/Industrial,1,1170
0801903025,03,L'HOSPITALET LLOBR.,2023-01-27,Comercial/Comercial/Commercial,5,522
0801903025,03,L'HOSPITALET LLOBR.,2023-01-27,Industrial/Industrial/Industrial,1,2082
0801903025,03,L'HOSPITALET LLOBR.,2023-01-28,Comercial/Comercial/Commercial,5,93
0801903025,03,L'HOSPITALET LLOBR.,2023-01-28,Industrial/Industrial/Industrial,1,1960
0801903025,03,L'HOSPITALET LLOBR.,2023-01-29,Comercial/Comercial/Commercial,5,24
0801903025,03,L'HOSPITALET LLOBR.,2023-01-29,Industrial/Industrial/Industrial,1,2161
0801903025,03,L'HOSPITALET LLOBR.,2023-01-30,Comercial/Comercial/Commercial,5,760
0801903025,03,L'HOSPITALET LLOBR.,2023-01-30,Industrial/Industrial/Industrial,1,1996
0801903025,03,L'HOSPITALET LLOBR.,2023-01-31,Comercial/Comercial/Commercial,5,979
0801903025,03,L'HOSPITALET LLOBR.,2023-01-31,Industrial/Industrial/Industrial,1,2181
0807302003,02,L'HOSPITALET LLOBR.,2023-01-01,Domèstic/Doméstico/Domestic,15,175
0807302003,02,L'HOSPITALET LLOBR.,2023-01-02,Domèstic/Doméstico/Domestic,15,215
0807302003,02,L'HOSPITALET LLOBR.,2023-01-03,Domèstic/Doméstico/Domestic,15,225
0807302003,02,L'HOSPITALET LLOBR.,2023-01-04,Domèstic/Doméstico/Domestic,15,199
0807302003,02,L'HOSPITALET LLOBR.,2023-01-05,Domèstic/Doméstico/Domestic,15,185
0807302003,02,L'HOSPITALET LLOBR.,2023-01-06,Domèstic/Doméstico/Domestic,15,210
0807302003,02,L'HOSPITALET LLOBR.,2023-01-07,Domèstic/Doméstico/Domestic,15,216
0807302003,02,L'HOSPITALET LLOBR.,2023-01-08,Domèstic/Doméstico/Domestic,15,195
0807302003,02,L'HOSPITALET LLOBR.,2023-01-09,Domèstic/Doméstico/Domestic,15,227
0807302003,02,L'HOSPITALET LLOBR.,2023-01-10,Domèstic/Doméstico/Domestic,15,239
0807302003,02,L'HOSPITALET LLOBR.,2023-01-11,Domèstic/Doméstico/Domestic,15,262
0807302003,02,L'HOSPITALET LLOBR.,2023-01-12,Domèstic/Doméstico/Domestic,15,232
0807302003,02,L'HOSPITALET LLOBR.,2023-01-13,Domèstic/Doméstico/Domestic,15,238
0807302003,02,L'HOSPITALET LLOBR.,2023-01-14,Domèstic/Doméstico/Domestic,15,206
0807302003,02,L'HOSPITALET LLOBR.,2023-01-15,Domèstic/Doméstico/Domestic,15,246
0807302003,02,L'HOSPITALET LLOBR.,2023-01-16,Domèstic/Doméstico/Domestic,15,245
0807302003,02,L'HOSPITALET LLOBR.,2023-01-17,Domèstic/Doméstico/Domestic,15,201
0807302003,02,L'HOSPITALET LLOBR.,2023-01-18,Domèstic/Doméstico/Domestic,15,222
0807302003,02,L'HOSPITALET LLOBR.,2023-01-19,Domèstic/Doméstico/Domestic,15,209
0807302003,02,L'HOSPITALET LLOBR.,2023-01-20,Domèstic/Doméstico/Domestic,15,180
0807302003,02,L'HOSPITALET LLOBR.,2023-01-21,Domèstic/Doméstico/Domestic,15,162
0807302003,02,L'HOSPITALET LLOBR.,2023-01-22,Domèstic/Doméstico/Domestic,15,161
0807302003,02,L'HOSPITALET LLOBR.,2023-01-23,Domèstic/Doméstico/Domestic,15,164
0807302003,02,L'HOSPITALET LLOBR.,2023-01-24,Domèstic/Doméstico/Domestic,15,206
0807302003,02,L'HOSPITALET LLOBR.,2023-01-25,Domèstic/Doméstico/Domestic,15,176
0807302003,02,L'HOSPITALET LLOBR.,2023-01-26,Domèstic/Doméstico/Domestic,15,203
0807302003,02,L'HOSPITALET LLOBR.,2023-01-27,Domèstic/Doméstico/Domestic,15,169
0807302003,02,L'HOSPITALET LLOBR.,2023-01-28,Domèstic/Doméstico/Domestic,15,198
0807302003,02,L'HOSPITALET LLOBR.,2023-01-29,Domèstic/Doméstico/Domestic,15,147
0807302003,02,L'HOSPITALET LLOBR.,2023-01-30,Domèstic/Doméstico/Domestic,15,160
0807302003,02,L'HOSPITALET LLOBR.,2023-01-31,Domèstic/Doméstico/Domestic,15,165
0807702006,02,L'HOSPITALET LLOBR.,2023-01-01,Domèstic/Doméstico/Domestic,67,176
0807702006,02,L'HOSPITALET LLOBR.,2023-01-02,Domèstic/Doméstico/Domestic,67,184
0807702006,02,L'HOSPITALET LLOBR.,2023-01-03,Domèstic/Doméstico/Domestic,67,182
0807702006,02,L'HOSPITALET LLOBR.,2023-01-04,Domèstic/Doméstico/Domestic,67,195
0807702006,02,L'HOSPITALET LLOBR.,2023-01-05,Domèstic/Doméstico/Domestic,67,182
0807702006,02,L'HOSPITALET LLOBR.,2023-01-06,Domèstic/Doméstico/Domestic,67,193
0807702006,02,L'HOSPITALET LLOBR.,2023-01-07,Domèstic/Doméstico/Domestic,67,195
0807702006,02,L'HOSPITALET LLOBR.,2023-01-08,Domèstic/Doméstico/Domestic,67,240
0807702006,02,L'HOSPITALET LLOBR.,2023-01-09,Domèstic/Doméstico/Domestic,67,208
0807702006,02,L'HOSPITALET LLOBR.,2023-01-10,Domèstic/Doméstico/Domestic,67,188
0807702006,02,L'HOSPITALET LLOBR.,2023-01-11,Domèstic/Doméstico/Domestic,67,207
