Tiempo,Barcelona
01 ene 1997,1493663
01 ene 1998,1507026
01 ene 1999,1503840
01 ene 2000,1497436
01 ene 2001,1507121
01 ene 2002,1555426
01 ene 2003,1581813
01 ene 2004,1588617
01 ene 2005,1599337
01 ene 2006,1610057
01 ene 2007,1594433
01 ene 2008,1615178
01 ene 2009,1631853
01 ene 2010,1619613
01 ene 2011,1614589
01 ene 2012,1619830
01 ene 2013,1612835
01 ene 2014,1602450
01 ene 2015,1604700
01 ene 2016,1610427
01 feb 2016,1613172
01 mar 2016,1604242
01 abr 2016,1607117
01 may 2016,1611198
01 jun 2016,1614474
01 jul 2016,1608908
01 ago 2016,1606412
01 sep 2016,1610215
01 oct 2016,1611696
01 nov 2016,1618481
01 dic 2016,1623988
01 ene 2017,1625137
01 feb 2017,1625724
01 mar 2017,1608602
01 abr 2017,1614481
01 may 2017,1618387
01 jun 2017,1615102
01 jul 2017,1617690
01 ago 2017,1612732
01 sep 2017,1614232
01 oct 2017,1620170
01 nov 2017,1624312
01 dic 2017,1631420
01 ene 2018,1628936
01 feb 2018,1631298
01 mar 2018,1630905
01 abr 2018,1635033
01 may 2018,1639158
01 jun 2018,1642423
01 jul 2018,1641753
01 ago 2018,1644386
01 sep 2018,1647152
01 oct 2018,1645761
01 nov 2018,1653190
01 dic 2018,1660518
01 ene 2019,1650358
01 feb 2019,1656991
01 mar 2019,1664853
01 abr 2019,1667189
01 may 2019,1667056
01 jun 2019,1671657
01 jul 2019,1674994
01 ago 2019,1664319
01 sep 2019,1666916
01 oct 2019,1654893
01 nov 2019,1665487
01 dic 2019,1666132
01 ene 2020,1666530
01 feb 2020,1673579
01 mar 2020,1659334
01 abr 2020,1661152
01 may 2020,1658279
01 jun 2020,1656545
01 jul 2020,1655513
01 ago 2020,1651635
01 sep 2020,1651886
01 oct 2020,1653034
01 nov 2020,1656366
01 dic 2020,1658723
01 ene 2021,1660314
01 feb 2021,1660086
01 mar 2021,1661691
01 abr 2021,1658509
01 may 2021,1648983
01 jun 2021,1649699
01 jul 2021,1653123
01 ago 2021,1635156
01 sep 2021,1639089
01 oct 2021,1645212
01 nov 2021,1646303
01 dic 2021,1645734
01 ene 2022,1639981
01 feb 2022,1646171
01 mar 2022,1627474
01 abr 2022,1638032
01 may 2022,1645219
01 jun 2022,1643015
01 jul 2022,1646788
01 ago 2022,1643511
01 sep 2022,1648736
01 oct 2022,1656725
01 nov 2022,1663665
01 dic 2022,1672309
01 ene 2023,1660435
01 feb 2023,1670481
01 mar 2023,1666203
01 abr 2023,1676285
01 may 2023,1683904
01 jun 2023,1692163
01 jul 2023,1697550
01 ago 2023,1701891
01 sep 2023,1700895
01 oct 2023,1707608
01 nov 2023,1706712
01 dic 2023,1715062
01 ene 2024,1702814
01 feb 2024,1707677
01 mar 2024,1700006
01 abr 2024,1706978
01 may 2024,1713060
01 jun 2024,1708936
01 jul 2024,1711753
