Tiempo,Ciutat Vella,Eixample,Sants-Montjuïc,Les Corts,Sarrià-Sant Gervasi,Gràcia,Horta-Guinardó,Nou Barris,Sant Andreu,Sant Martí
01 ene 1997,82270,246061,165616,81242,128522,114411,168276,168997,134556,203712
01 ene 1998,84306,247870,167302,82363,130770,115254,168814,169080,135431,205836
01 ene 1999,84540,247740,167019,82286,131564,115005,167628,167047,135237,205774
01 ene 2000,84524,246884,166107,82443,132241,114090,166086,165095,134814,205152
01 ene 2001,89003,248625,167407,82269,133075,114151,166075,164316,135558,206642
01 ene 2002,98536,258075,172433,83024,137758,117910,169373,166261,138869,213187
01 ene 2003,106627,261908,175896,83445,139405,119190,170146,166587,140889,217720
01 ene 2004,109886,262099,177039,82995,139749,119839,169601,166588,141974,218847
01 ene 2005,113097,263691,178248,82748,140977,120356,169502,166009,143217,221492
01 ene 2006,114358,266182,180670,82672,141574,121398,169360,166237,144157,223449
01 ene 2007,111792,262198,178400,81379,140882,120021,167741,165588,143429,223003
01 ene 2008,111791,265634,181273,82245,142461,121946,169680,168046,145713,226389
01 ene 2009,110016,268429,183517,83183,144431,123804,171359,169816,147404,229894
01 ene 2010,104664,265714,182977,82750,144485,122978,170757,168080,146988,230220
01 ene 2011,103569,264296,182733,82337,144355,121483,169764,167621,147353,231078
01 ene 2012,104357,265593,183970,82357,145269,121831,168984,167334,147397,232738
01 ene 2013,103311,264967,182741,81711,145515,120997,167800,165809,146949,233035
01 ene 2014,100700,263564,180833,81196,145773,120283,166924,164514,145998,232665
01 ene 2015,100169,263557,180813,81529,146848,120445,166530,164637,146512,233660
01 ene 2016,100373,264568,181187,81708,148172,121088,167390,164971,146800,234170
01 feb 2016,100741,265023,181524,81855,148404,121329,167549,165206,146934,234607
01 mar 2016,99157,263360,180354,81527,147860,120554,166934,164512,146474,233510
01 abr 2016,99711,263978,180603,81596,148058,120715,167249,164712,146669,233826
01 may 2016,100291,264633,181199,81705,148369,120944,167512,165042,147023,234480
01 jun 2016,100837,265185,181573,81832,148616,121150,167796,165408,147221,234856
01 jul 2016,99779,264233,180748,81593,148251,120929,167457,164920,146904,234094
01 ago 2016,99191,263629,180416,81486,148133,120650,167377,164914,146840,233776
01 sep 2016,99853,264169,180738,81686,148402,120872,167765,165356,147073,234301
