estacio,fecha,temp_max,temp_min,precipitacion
Barcelona El Prat,2021-01-01,8.5,5.3,10.1
Barcelona El Prat,2021-01-02,9.7,2.7,0.0
Barcelona El Prat,2021-01-03,9.7,1.4,0.0
Barcelona El Prat,2021-01-04,11.3,0.5,0.0
Barcelona El Prat,2021-01-05,10.1,0.6,0.0
Barcelona El Prat,2021-01-06,10.6,-0.5,0.7
Barcelona El Prat,2021-01-07,7.6,2.7,0.0
Barcelona El Prat,2021-01-08,7.4,1.2,5.7
Barcelona El Prat,2021-01-09,8.2,2.5,14.4
Barcelona El Prat,2021-01-10,8.1,4.9,7.4
Barcelona El Prat,2021-01-11,8.6,2.3,0.0
Barcelona El Prat,2021-01-12,9.1,1.8,0.0
Barcelona El Prat,2021-01-13,11.3,3.3,0.0
Barcelona El Prat,2021-01-14,10.5,4.6,0.0
Barcelona El Prat,2021-01-15,12.9,4.1,0.0
Barcelona El Prat,2021-01-16,13.5,2.9,0.0
Barcelona El Prat,2021-01-17,15.4,4.7,0.0
Barcelona El Prat,2021-01-18,12.8,6.3,0.4
Barcelona El Prat,2021-01-19,14.5,3.7,0.0
Barcelona El Prat,2021-01-20,14.0,7.8,0.0
Barcelona El Prat,2021-01-21,15.3,6.4,0.5
Barcelona El Prat,2021-01-22,16.7,8.9,4.5
Barcelona El Prat,2021-01-23,16.3,7.1,0.0
Barcelona El Prat,2021-01-24,17.2,9.3,0.0
Barcelona El Prat,2021-01-25,14.9,9.5,0.0
Barcelona El Prat,2021-01-26,13.3,8.0,0.0
Barcelona El Prat,2021-01-27,16.9,5.8,0.0
Barcelona El Prat,2021-01-28,18.5,7.5,0.0
Barcelona El Prat,2021-01-29,21.3,9.2,0.0
Barcelona El Prat,2021-01-30,20.0,9.2,0.0
Barcelona El Prat,2021-01-31,18.7,11.1,0.3
Barcelona El Prat,2021-02-01,20.9,12.3,0.0
Barcelona El Prat,2021-02-02,18.5,11.2,0.0
Barcelona El Prat,2021-02-03,18.2,9.7,0.0
Barcelona El Prat,2021-02-04,14.5,9.9,0.0
Barcelona El Prat,2021-02-05,15.7,11.5,0.0
Barcelona El Prat,2021-02-06,16.2,11.7,0.4
Barcelona El Prat,2021-02-07,14.1,7.9,0.0
Barcelona El Prat,2021-02-08,15.1,9.2,1.0
Barcelona El Prat,2021-02-09,15.5,8.0,0.1
Barcelona El Prat,2021-02-10,16.1,10.3,0.1
Barcelona El Prat,2021-02-11,15.6,6.9,0.0
Barcelona El Prat,2021-02-12,17.0,9.0,0.0
Barcelona El Prat,2021-02-13,15.7,7.5,0.0
Barcelona El Prat,2021-02-14,13.0,8.2,0.4
Barcelona El Prat,2021-02-15,12.1,8.1,1.1
Barcelona El Prat,2021-02-16,15.1,9.0,0.0
Barcelona El Prat,2021-02-17,16.5,8.5,0.0
Barcelona El Prat,2021-02-18,14.6,8.4,0.0
Barcelona El Prat,2021-02-19,13.3,8.1,0.0
Barcelona El Prat,2021-02-20,14.9,8.4,0.0
Barcelona El Prat,2021-02-21,14.8,10.0,0.0
Barcelona El Prat,2021-02-22,14.9,11.7,9.1
Barcelona El Prat,2021-02-23,18.5,12.9,0.0
Barcelona El Prat,2021-02-24,17.0,10.5,0.0
Barcelona El Prat,2021-02-25,16.5,10.1,0.0
Barcelona El Prat,2021-02-26,15.7,8.8,0.0
Barcelona El Prat,2021-02-27,15.7,8.1,0.0
Barcelona El Prat,2021-02-28,15.9,9.6,0.0
Barcelona El Prat,2021-03-01,15.6,12.5,0.0
Barcelona El Prat,2021-03-02,15.3,12.5,0.0
Barcelona El Prat,2021-03-03,15.4,10.9,0.0
Barcelona El Prat,2021-03-04,16.0,10.0,0.0
Barcelona El Prat,2021-03-05,14.6,9.1,0.0
Barcelona El Prat,2021-03-06,14.4,10.0,0.0
Barcelona El Prat,2021-03-07,14.2,10.5,0.7
Barcelona El Prat,2021-03-08,13.5,9.4,0.0
Barcelona El Prat,2021-03-09,15.0,8.0,0.0
Barcelona El Prat,2021-03-10,15.3,6.5,0.0
Barcelona El Prat,2021-03-11,16.2,6.8,0.0
Barcelona El Prat,2021-03-12,15.7,9.4,0.0
Barcelona El Prat,2021-03-13,16.5,8.4,0.0
Barcelona El Prat,2021-03-14,16.1,7.9,0.0
Barcelona El Prat,2021-03-15,16.8,7.9,0.0
Barcelona El Prat,2021-03-16,16.1,7.6,0.0
Barcelona El Prat,2021-03-17,17.1,8.0,0.0
Barcelona El Prat,2021-03-18,15.3,7.4,8.3
Barcelona El Prat,2021-03-19,11.6,6.1,1.3
Barcelona El Prat,2021-03-20,14.1,4.4,0.0
Barcelona El Prat,2021-03-21,14.7,4.1,0.0
Barcelona El Prat,2021-03-22,17.3,6.7,0.0
Barcelona El Prat,2021-03-23,16.1,7.7,0.0
Barcelona El Prat,2021-03-24,16.1,7.7,0.0
Barcelona El Prat,2021-03-25,16.9,11.6,0.0
Barcelona El Prat,2021-03-26,16.9,11.6,0.0
Barcelona El Prat,2021-03-27,16.9,10.9,0.0
Barcelona El Prat,2021-03-28,17.5,9.4,0.0
Barcelona El Prat,2021-03-29,18.8,8.5,0.0
Barcelona El Prat,2021-03-30,17.1,9.4,0.0
Barcelona El Prat,2021-03-31,17.8,8.8,0.0
Barcelona El Prat,2021-04-01,19.6,7.9,0.0
Barcelona El Prat,2021-04-02,20.1,10.8,0.0
Barcelona El Prat,2021-04-03,21.8,12.2,0.0
Barcelona El Prat,2021-04-04,18.4,11.3,0.0
Barcelona El Prat,2021-04-05,18.3,10.8,0.0
Barcelona El Prat,2021-04-06,16.6,10.6,0.0
Barcelona El Prat,2021-04-07,13.9,8.3,0.0
